authority,feature,importance,is_spatial
BANC,lag_1h,584960854.2949219,False
BANC,lag_24h,92139975.1953125,False
BANC,lag_168h,18921897.412109375,False
BANC,rolling_mean_24h,39837852.013671875,False
BANC,rolling_mean_7d,24633751.794921875,False
BANC,hour,23831946.306640625,False
BANC,day_of_week,4893656.00390625,False
BANC,spatial_lag1h_CISO,91432638.4921875,True
BANC,spatial_lag1h_IID,37761212.087890625,True
BANC,spatial_lag1h_LDWP,40426635.59765625,True
BANC,spatial_lag1h_TIDC,138441574.38867188,True
BANC,spatial_lag24h_CISO,73582676.29492188,True
BANC,spatial_lag24h_IID,18910079.19921875,True
BANC,spatial_lag24h_LDWP,31554986.8984375,True
BANC,spatial_lag24h_TIDC,12745422.0,True
BANC,spatial_corr_weighted_demand,58944062.58984375,True
BANC,spatial_avg_connected,0.0,True
BANC,spatial_strongest_corr,2197792.8984375,True
BANC,spatial_strongest_corr_value,0.0,True
BANC,spatial_granger_causal_avg,36524575.703125,True
BANC,spatial_strongest_causal,0.0,True
BANC,spatial_rolling_24h_avg,11114043.8984375,True
BANC,spatial_rolling_168h_avg,15257280.095703125,True
CISO,lag_1h,102756574651.0,False
CISO,lag_24h,8840294550.0,False
CISO,lag_168h,287281793.0,False
CISO,rolling_mean_24h,392967636.0,False
CISO,rolling_mean_7d,188799964.0,False
CISO,hour,4895611915.0,False
CISO,day_of_week,1125846887.0,False
CISO,spatial_lag1h_BANC,313099569.0,True
CISO,spatial_lag1h_IID,548206976.0,True
CISO,spatial_lag1h_LDWP,506519966.0,True
CISO,spatial_lag1h_TIDC,1581285515.0,True
CISO,spatial_lag24h_BANC,449446526.0,True
CISO,spatial_lag24h_IID,232780970.0,True
CISO,spatial_lag24h_LDWP,216303697.0,True
CISO,spatial_lag24h_TIDC,755555534.0,True
CISO,spatial_corr_weighted_demand,717521566.0,True
CISO,spatial_avg_connected,734460778.0,True
CISO,spatial_strongest_corr,232870703.0,True
CISO,spatial_strongest_corr_value,0.0,True
CISO,spatial_granger_causal_avg,1265205186.0,True
CISO,spatial_strongest_causal,0.0,True
CISO,spatial_rolling_24h_avg,336849187.0,True
CISO,spatial_rolling_168h_avg,115763081.0,True
IID,lag_1h,156065376.46440125,False
IID,lag_24h,34404993.88850784,False
IID,lag_168h,187928.21239089966,False
IID,rolling_mean_24h,224564.86024475098,False
IID,rolling_mean_7d,161911.5354309082,False
IID,hour,3253699.1030158997,False
IID,day_of_week,287799.2884864807,False
IID,spatial_lag1h_BANC,467944.4126586914,True
IID,spatial_lag1h_CISO,202914.49451828003,True
IID,spatial_lag1h_LDWP,359855.91151046753,True
IID,spatial_lag1h_TIDC,298635.09452056885,True
IID,spatial_lag24h_BANC,197345.07075500488,True
IID,spatial_lag24h_CISO,136091.66410446167,True
IID,spatial_lag24h_LDWP,277353.8487968445,True
IID,spatial_lag24h_TIDC,114941.67670822144,True
IID,spatial_corr_weighted_demand,166582.45281982422,True
IID,spatial_avg_connected,105379.39734649658,True
IID,spatial_strongest_corr,2248.156406402588,True
IID,spatial_strongest_corr_value,0.0,True
IID,spatial_granger_causal_avg,66523.9211807251,True
IID,spatial_strongest_causal,28207.581802368164,True
IID,spatial_rolling_24h_avg,347097.41650772095,True
IID,spatial_rolling_168h_avg,97397.70643997192,True
LDWP,lag_1h,2605174589.2939453,False
LDWP,lag_24h,19652188.217773438,False
LDWP,lag_168h,8084507.603515625,False
LDWP,rolling_mean_24h,25857277.8046875,False
LDWP,rolling_mean_7d,7693951.00390625,False
LDWP,hour,80686206.8046875,False
LDWP,day_of_week,6563624.431640625,False
LDWP,spatial_lag1h_BANC,12724049.69140625,True
LDWP,spatial_lag1h_CISO,61350702.875,True
LDWP,spatial_lag1h_IID,105116720.60644531,True
LDWP,spatial_lag1h_TIDC,8621116.80078125,True
LDWP,spatial_lag24h_BANC,11108214.288085938,True
LDWP,spatial_lag24h_CISO,15198407.217773438,True
LDWP,spatial_lag24h_IID,27878147.98828125,True
LDWP,spatial_lag24h_TIDC,7321183.2080078125,True
LDWP,spatial_corr_weighted_demand,27442572.791992188,True
LDWP,spatial_avg_connected,1818684.599609375,True
LDWP,spatial_strongest_corr,0.0,True
LDWP,spatial_strongest_corr_value,0.0,True
LDWP,spatial_granger_causal_avg,25769542.298828125,True
LDWP,spatial_strongest_causal,2064616.103515625,True
LDWP,spatial_rolling_24h_avg,10849584.798828125,True
LDWP,spatial_rolling_168h_avg,11482177.524414062,True
TIDC,lag_1h,18458750.112724304,False
TIDC,lag_24h,1057341.0218114853,False
TIDC,lag_168h,104582.915309906,False
TIDC,rolling_mean_24h,68883.60919380188,False
TIDC,rolling_mean_7d,119797.30534172058,False
TIDC,hour,773511.1346902847,False
TIDC,day_of_week,227649.86072349548,False
TIDC,spatial_lag1h_BANC,519645.51654052734,True
TIDC,spatial_lag1h_CISO,48371.06273460388,True
TIDC,spatial_lag1h_IID,341585.48557281494,True
TIDC,spatial_lag1h_LDWP,66192.84425640106,True
